Baseline 100%T,,UV_511359d7-df0d-4018-bfee-ff58585b5809,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0097656,0.5005176663,800.0097656,-0.04090062901,
799.4876099,0.4974665046,799.4876099,-0.0396954529,
799.0003052,0.4973629415,799.0003052,-0.03725035489,
798.5128174,0.4980668724,798.5128174,-0.04128819704,
797.9903564,0.4971660674,797.9903564,-0.04146606475,
797.5026245,0.4968630075,797.5026245,-0.03771254048,
797.0149536,0.4966117144,797.0149536,-0.03835309297,
796.4921875,0.4995433986,796.4921875,-0.03560850769,
796.0042114,0.4978219867,796.0042114,-0.0366361998,
795.5161743,0.4963075221,795.5161743,-0.04698062316,
794.993042,0.4977560341,794.993042,-0.04175946116,
794.5048218,0.4908383787,794.5048218,-0.03998197243,
794.0164185,0.4947047234,794.0164185,-0.03946693987,
793.493042,0.4912587106,793.493042,-0.04218347371,
793.0045166,0.4931926429,793.0045166,-0.04204984009,
792.5158691,0.4876882732,792.5158691,-0.04168092087,
791.9922485,0.4902707636,791.9922485,-0.04447024316,
791.503418,0.49577564,791.503418,-0.03989196569,
791.0144653,0.4929171801,791.0144653,-0.04477586225,
790.4905396,0.4878200591,790.4905396,-0.03951019421,
790.0014038,0.486163348,790.0014038,-0.03682668135,
789.512146,0.4931967258,789.512146,-0.04511747882,
788.987854,0.4922114909,788.987854,-0.04131742939,
788.4984131,0.4926842153,788.4984131,-0.04224200547,
788.0089111,0.4948091507,788.0089111,-0.0409646593,
787.484375,0.4952991009,787.484375,-0.0389117226,
786.9946899,0.493373841,786.9946899,-0.03972748667,
786.5048218,0.4964966774,786.5048218,-0.04358004779,
786.0149536,0.4929316342,786.0149536,-0.04409453273,
785.4900513,0.4891756773,785.4900513,-0.03641778231,
784.999939,0.4916059375,784.999939,-0.03777898848,
784.5097656,0.4926640093,784.5097656,-0.04131347686,
783.984436,0.4926770627,783.984436,-0.04167565331,
783.4941406,0.4860747457,783.4941406,-0.04669291899,
783.0036621,0.492300719,783.0036621,-0.03881051019,
782.5131226,0.4861004055,782.5131226,-0.04609128088,
781.9873657,0.4869537055,781.9873657,-0.04049498215,
781.4966431,0.4884828031,781.4966431,-0.03774187341,
781.0058594,0.4917602837,781.0058594,-0.04556088522,
780.5149536,0.4886053801,780.5149536,-0.04652043432,
779.9888306,0.4865331352,779.9888306,-0.04121187702,
779.4976807,0.4920387864,779.4976807,-0.04128118232,
779.0065308,0.4948768616,779.0065308,-0.03812662512,
778.5151978,0.4955344796,778.5151978,-0.04201102257,
777.9887085,0.4908544421,777.9887085,-0.03993560374,
777.4971924,0.490975678,777.4971924,-0.03614505008,
777.0056152,0.4941670299,777.0056152,-0.03842153028,
776.513916,0.490604043,776.513916,-0.04118819535,
775.9870605,0.4888150096,775.9870605,-0.04143749923,
775.4952393,0.4874238372,775.4952393,-0.04108958319,
775.0032349,0.4969668388,775.0032349,-0.0406739302,
774.5112305,0.4928483963,774.5112305,-0.03516914696,
773.9838867,0.4888749123,773.9838867,-0.04187555239,
773.4916382,0.4872322083,773.4916382,-0.03851075098,
772.9993286,0.4873253703,772.9993286,-0.0408818759,
772.506958,0.4915416539,772.506958,-0.0346916765,
772.0144653,0.488011539,772.0144653,-0.04305974767,
771.4866333,0.4904117584,771.4866333,-0.04549403116,
770.9939575,0.4913937747,770.9939575,-0.0371684283,
770.5011597,0.4890614152,770.5011597,-0.03800725192,
770.0082397,0.4914532006,770.0082397,-0.03877490386,
769.5153198,0.4888676107,769.5153198,-0.03752111644,
768.9870605,0.487690866,768.9870605,-0.037393976,
768.4938354,0.4839644134,768.4938354,-0.04097775742,
768.0005493,0.4884880483,768.0005493,-0.03493298218,
767.5072632,0.4897272885,767.5072632,-0.04437943175,
767.013855,0.4919874072,767.013855,-0.03859417886,
766.4850464,0.4896606803,766.4850464,-0.04160039127,
765.991394,0.4863411784,765.991394,-0.03470912203,
765.4976807,0.484808147,765.4976807,-0.03785178438,
765.0038452,0.4837516248,765.0038452,-0.03846792132,
764.5100708,0.4850387871,764.5100708,-0.0395142585,
764.0160522,0.4954015613,764.0160522,-0.04154242948,
763.4866943,0.506413281,763.4866943,-0.03871268034,
762.9924927,0.5042411685,762.9924927,-0.04024164379,
762.49823,0.4930798411,762.49823,-0.03886149824,
762.0038452,0.4918745458,762.0038452,-0.03914289176,
761.5094604,0.489153415,761.5094604,-0.03933412582,
761.0148926,0.4900148809,761.0148926,-0.04096838087,
760.4849243,0.4914020002,760.4849243,-0.03862420842,
759.9902344,0.4866644442,759.9902344,-0.03966813907,
759.4954224,0.4900800288,759.4954224,-0.03083263896,
759.0005493,0.4883226454,759.0005493,-0.04016283154,
758.5055542,0.4902520776,758.5055542,-0.03787114099,
758.010498,0.4881972671,758.010498,-0.03781856596,
757.5153198,0.4873874784,757.5153198,-0.04208470881,
756.9846802,0.4895652235,756.9846802,-0.03773333132,
756.4893188,0.4897248447,756.4893188,-0.03771092743,
755.9939575,0.4856432378,755.9939575,-0.0392085053,
755.4984131,0.4877426922,755.4984131,-0.0400907062,
755.0028076,0.4881765842,755.0028076,-0.03467050195,
754.507019,0.4880422652,754.507019,-0.03781130537,
754.0112915,0.4908946753,754.0112915,-0.04119426757,
753.5154419,0.4940885901,753.5154419,-0.03840882704,
752.9840088,0.4907223582,752.9840088,-0.04646043107,
752.487915,0.4913318157,752.487915,-0.03891513124,
751.9917603,0.4928176105,751.9917603,-0.03761621937,
751.4954834,0.4843989313,751.4954834,-0.03989205882,
750.9992065,0.4918292761,750.9992065,-0.04028265178,
750.5027466,0.4859247804,750.5027466,-0.04031025618,
750.0062256,0.4868885279,750.0062256,-0.03780248016,
749.5096436,0.4892733097,749.5096436,-0.03945110366,
749.0128784,0.4874238372,749.0128784,-0.03684499487,
748.5161743,0.4866778553,748.5161743,-0.04087066278,
747.9838257,0.4901490211,747.9838257,-0.040422488,
747.4868164,0.4907684624,747.4868164,-0.04366634414,
746.9897461,0.4881410599,746.9897461,-0.03792798147,
746.4926147,0.4869645834,746.4926147,-0.04104116186,
745.9954834,0.4878048897,745.9954834,-0.03991232067,
745.4981079,0.4830527306,745.4981079,-0.0387882553,
745.0006714,0.4858889282,745.0006714,-0.04020865634,
744.5032349,0.4887448549,744.5032349,-0.04124893248,
